effortid,date,year,month,day,population,area,section,activity,timestart,effort,observers,observernames,precip,cloud,windspeed,air,water,notchcode,turtleid,idquestionable,idcomments,obsid,method,utme,utmn,spatialproof,accuracy,accuracyDistance,sex,AgeAtCapture
588,2004-07-12,2004,7,12,ML (McGowan Lake),WB (West Bog),1M (West Bog 1M),Visual Survey,13:47:00,16,2,"Jeffie McNeil, Josie Todd",,0,,26,25,"2,3-3,9",391,0,,38270,Visual survey,334727,4922519,1,,,M,17
588,2004-07-12,2004,7,12,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Set Traps,13:58:00,124,2,"Jeffie McNeil, Josie Todd",,0,,23,27.5,"2,3-8,10",393,0,,38271,Incidental to trapping,,,0,,,M,
588,2004-07-12,2004,7,12,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Set Traps,13:58:00,124,2,"Jeffie McNeil, Josie Todd",,0,,23,27.5,"11-1,2",257,0,,38273,Incidental to trapping,334960,4922465,0,,,M,20+
591,2004-07-15,2004,7,15,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,11:57:00,26,2,,,0,,19,19,"8-8,9",639,0,,38275,Incidental to trapping,,,0,,,M,
598,2006-06-03,2006,6,3,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Pull Traps,19:58:00,34,2,"Jeffie McNeil, Daniel McNeil",Mod - Heavy Rain,100,Calm,13,17,"8-8,10",637,0,,38394,Incidental to trapping,334599,4922611,1,Point,10,F,
598,2006-06-03,2006,6,3,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Pull Traps,19:58:00,34,2,"Jeffie McNeil, Daniel McNeil",Mod - Heavy Rain,100,Calm,13,17,"2,3-3,9",391,0,,38395,Incidental to trapping,334599,4922611,1,Point,10,M,19
2002,2007-04-01,2007,4,1,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Radio Tracking,14:35:00,50,2,"Jeffie McNeil, Troy Frech",None,0,Light,7,9,"2,3-3,8",390,0,,40834,Incidental to radio tracking,,,0,,,M,
2002,2007-04-01,2007,4,1,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,15:01:00,88,2,"Jeffie McNeil, Troy Frech",None,0,Light,7,9,"8-8,9",639,0,,40831,Visual survey,,,0,,,M,
2002,2007-04-01,2007,4,1,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,15:01:00,88,2,"Jeffie McNeil, Troy Frech",None,0,Light,7,9,"2,3-3,10",388,0,,40832,Visual survey,334752,4922690,0,,,F,20+
2003,2007-04-04,2007,4,4,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:55:00,130,2,"Jeffie McNeil, Kylie Sands",None,0,Calm,9,5,"8,9-8,9",612,0,,40838,Visual survey,,,0,,,M,10
2003,2007-04-04,2007,4,4,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:55:00,130,2,"Jeffie McNeil, Kylie Sands",None,0,Calm,9,5,"2,3-3,10",388,0,,40839,Visual survey,,,0,,,F,20+
2003,2007-04-04,2007,4,4,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:55:00,130,2,"Jeffie McNeil, Kylie Sands",None,0,Calm,9,5,"2,3-3,8",390,0,,40840,Visual survey,,,0,,,M,
2004,2007-04-22,2007,4,22,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:30:00,80,2,"Jeffie McNeil, Troy Frech",None,10,Light,17,9,"11-2,8",266,0,,40843,Visual survey,334444,4922395,1,Point,10,F,20+
2004,2007-04-22,2007,4,22,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:30:00,80,2,"Jeffie McNeil, Troy Frech",None,10,Light,17,9,"11-3,8",270,0,,40844,Visual survey,334444,4922395,1,Point,10,M,20+
